date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low,fiiIdxFutlong,fiiIdxFutshort,fiiIdxCElong,fiiIdxCEshort,fiiIdxPElong,fiiIdxPEshort,fiiStkFutlong,fiiStkFutshort,fiiStkCElong,fiiStkCEshort,fiiStkPElong,fiiStkPEshort,diiIdxFutlong,diiIdxFutshort,diiIdxCElong,diiIdxCEshort,diiIdxPElong,diiIdxPEshort,diiStkFutlong,diiStkFutshort,diiStkCElong,diiStkCEshort,diiStkPElong,diiStkPEshort,propIdxFutlong,propIdxFutshort,propIdxCElong,propIdxCEshort,propIdxPElong,propIdxPEshort,propStkFutlong,propStkFutshort,propStkCElong,propStkCEshort,propStkPElong,propStkPEshort
20150213T,CNX Nifty,818,672,8741.5,8822.1,8729.65,8805.5,9875.8,8021330.0,30,13,769219,138114,583315,445504,946888,317360,421513,1552676,32172,33589,25933,19367,8997,56560,242275.0,0,56999,0,21577,300835.0,50,94,0,0,113207,58428,367318.0,685878.0,481406.0,672389.0,221906.0,176575.0,57168,172872,63805,74736
20150216T,CNX Nifty,649,864,8831.4,8870.1,8793.4,8809.35,10589.2,7338131.0,29,14,771447,118610,571308,460156,952867,325263,417333,1560631,31966,34986,27223,20079,8885,58560,242915.0,0,57399,0,21443,302627.0,50,94,0,0,125962,57557,378068.0,719002.0,474919.0,618388.0,224945.0,179722.0,55991,176981,64799,75575
20150218T,CNX Nifty,905,590,8811.55,8894.3,8808.9,8869.1,12378.17,7722767.0,34,17,778842,114963,577691,458904,956382,321450,423964,1576225,31386,35327,27536,20543,9911,58616,243075.0,0,57399,0,21468,307069.0,50,94,0,0,119332,59115,377359.0,690713.0,457948.0,662070.0,238142.0,188689.0,55594,182672,63412,76946
20150219T,CNX Nifty,705,788,8883.05,8913.45,8794.45,8895.3,11165.81,7903271.0,37,8,754045,114793,553533,442395,945656,320127,424319,1569650,32292,37881,29700,20500,9914,61016,242989.0,0,57915,0,22629,305789.0,50,94,0,0,149168,63486,415982.0,719123.0,522815.0,698393.0,248803.0,199734.0,58781,185820,64156,79086
20150223T,CNX Nifty,537,976,8856.85,8869.0,8736.1,8754.95,9340.9,7345029.0,43,14,744331,123151,550667,483441,921802,304688,455011,1591998,30821,41252,28254,21782,9829,57222,245749.0,0,69498,0,23957,306243.0,50,109,0,0,134464,67977,402691.0,859513.0,545822.0,694469.0,274767.0,224175.0,58761,201444,70159,75231
20150224T,CNX Nifty,551,941,8772.9,8800.5,8726.75,8762.1,8960.6,7573866.0,29,13,786849,173532,580798,441594,886073,310473,477162,1603050,27923,36013,24169,20951,18068,51672,245139.0,0,69498,0,24599,305681.0,50,179,0,0,136626,69836,400904.0,839816.0,513016.0,705958.0,263396.0,218175.0,60462,205060,71000,75931
20150225T,CNX Nifty,610,897,8801.9,8840.65,8751.4,8767.25,8115.42,7117839.0,22,11,839500,260388,594581,470687,872473,314565,497029,1610137,26644,33248,21734,19626,9711,51439,245719.0,0,62984,0,24101,304733.0,50,179,0,0,131313,62376,391946.0,900519.0,530710.0,736116.0,251773.0,206698.0,59491,203843,71093,76435
20150226T,CNX Nifty,440,1037,8779.0,8786.05,8669.45,8683.85,10054.58,8327954.0,17,13,688987,121617,373366,342159,426164,189791,404397,1462248,369,799,18,187,8420,50161,239069.0,0,75322,0,18653,293908.0,0,0,0,0,83892,43073,193389.0,310332.0,312164.0,251796.0,162951.0,117567.0,17161,44133,25633,15947
20150227T,CNX Nifty,1078,420,8729.5,8856.95,8717.45,8844.6,13201.15,9189596.0,15,12,724206,111084,444050,383953,490278,217894,415765,1477407,12246,13308,9513,5485,9870,59077,241254.0,0,75537,0,19550,301363.0,0,45,0,0,68993,40766,284158.0,388014.0,315204.0,334767.0,165087.0,117562.0,31304,60588,29295,25730
20150303T,CNX Nifty,946,550,8962.85,9008.4,8925.55,8996.25,10320.2,8702026.0,38,8,883546,96034,565383,382446,576230,240266,425262,1540518,19842,24450,21098,11983,11807,73620,241184.0,0,77480,0,20109,312161.0,0,75,0,0,67343,77475,301282.0,409973.0,375368.0,547864.0,190901.0,156734.0,46789,95313,39426,44911
