date,symbol,adv,dec,open,high,low,close,qty,trades,new_high,new_low
2017-02-02,Nifty 50,912,735,8724.75,8757.60,8685.80,8734.25,14901.42,10060851.0,42,10
2017-02-03,Nifty 50,1000,636,8735.15,8748.25,8707.75,8740.95,16394.41,9785887.0,32,8
2017-02-06,Nifty 50,1112,549,8785.45,8814.10,8770.20,8801.05,15065.17,9532073.0,67,9
2017-02-07,Nifty 50,705,953,8805.70,8809.30,8741.05,8768.30,18478.53,9175100.0,47,6
2017-02-08,Nifty 50,865,779,8774.55,8791.25,8715.00,8769.05,13586.07,8463879.0,36,2
2017-02-09,Nifty 50,801,849,8795.55,8821.40,8724.10,8778.40,13505.86,9129529.0,39,6
2017-02-10,Nifty 50,754,907,8812.35,8822.10,8771.20,8793.55,11907.2,8556200.0,34,4
2017-02-13,Nifty 50,547,1119,8819.80,8826.90,8754.20,8805.05,11919.27,7786534.0,30,14
2017-02-14,Nifty 50,563,1081,8819.90,8820.45,8772.50,8792.30,10838.07,8044925.0,39,14
2017-02-15,Nifty 50,302,1364,8778.95,8807.90,8712.85,8724.70,11786.52,8600041.0,18,17
2017-02-16,Nifty 50,1163,483,8739.00,8783.95,8719.60,8778.00,10698.8,8329351.0,18,26
2017-02-17,Nifty 50,873,761,8883.70,8896.45,8804.25,8821.70,11859.57,8372889.0,33,11
2017-02-20,Nifty 50,1054,589,8818.55,8886.25,8809.80,8879.20,12039.63,7264832.0,38,16
2017-02-21,Nifty 50,923,700,8890.75,8920.80,8860.95,8907.85,11294.54,7868945.0,37,9
2017-02-22,Nifty 50,546,1107,8931.60,8960.75,8905.25,8926.90,12416.77,10195077.0,22,10
2017-02-23,Nifty 50,666,984,8956.40,8982.15,8927.55,8939.50,15490.96,9563909.0,21,14
2017-02-27,Nifty 50,707,965,8943.70,8951.80,8888.65,8896.70,11892.02,8308773.0,29,10
2017-02-28,Nifty 50,912,732,8898.95,8914.75,8867.60,8879.60,14384.13,9478366.0,37,16
2017-03-01,Nifty 50,1001,652,8904.40,8960.80,8898.60,8945.80,13497.39,8453223.0,35,12
2017-03-02,Nifty 50,396,1266,8982.85,8992.50,8879.80,8899.75,13228.04,8783990.0,47,16
2017-03-03,Nifty 50,739,914,8883.50,8907.10,8860.10,8897.55,9942.63,7776604.0,19,15
2017-03-06,Nifty 50,906,767,8915.10,8967.80,8914.00,8963.45,9079.21,7247689.0,31,24
